event,aX,aY,aZ,gX,gY,gZ
1,0.373,0.127,1.092,5.493,-36.560,2.075
1,0.292,0.100,1.002,8.057,-30.579,0.305
1,0.267,0.104,0.980,21.301,-14.893,-3.784
1,0.239,0.114,0.918,25.879,-14.404,-4.700
1,0.200,0.106,0.890,25.391,-21.362,-2.869
1,0.198,0.098,0.948,21.851,-33.081,3.418
1,0.204,0.066,1.051,19.897,-31.555,4.333
1,0.200,0.067,1.079,26.306,-15.747,0.000
1,0.203,0.067,1.057,26.489,-9.583,-1.892
1,0.184,0.060,0.974,20.691,-16.785,-2.808
1,0.122,0.083,0.842,16.113,-25.208,-1.526
1,0.183,0.091,0.947,9.766,-31.372,1.587
1,0.229,0.068,1.043,6.836,-29.480,2.136
1,0.247,0.021,1.082,-2.930,-22.278,0.488
1,0.230,0.016,1.029,-5.920,-25.024,-2.563
1,0.187,0.061,0.920,-4.150,-31.799,-3.052
1,0.161,0.081,0.876,-8.606,-47.546,-1.282
1,0.162,0.040,0.905,-11.658,-50.171,0.366
1,0.172,0.027,1.089,-5.615,-37.048,2.808
1,0.177,0.032,1.193,-0.854,-20.691,2.625
1,0.138,0.023,1.234,-3.479,-15.686,0.793
1,0.091,0.005,1.160,-11.719,-13.550,-3.479
1,0.023,-0.002,0.952,-15.625,-17.151,-2.625
1,0.045,0.009,0.885,-27.893,-30.823,-0.610
1,0.089,0.018,0.935,-22.888,-26.550,0.488
1,0.136,0.076,1.056,-17.944,-21.179,2.258
1,0.125,0.103,1.087,-15.564,-13.855,1.526
1,0.060,0.086,1.043,-13.611,-12.207,-0.122
1,0.011,0.072,0.969,-3.784,-11.780,-0.305
1,0.003,0.087,0.952,2.136,-11.230,-0.549
1,0.038,0.088,0.949,4.822,-9.277,-2.808
1,0.078,0.083,0.980,11.230,-8.484,-3.235
1,0.134,0.087,1.051,12.207,-7.019,-1.282
1,0.096,0.100,0.966,6.897,-3.174,1.465
1,0.058,0.118,0.934,4.639,-7.751,3.357
1,0.036,0.113,0.975,5.066,-12.085,3.723
1,0.040,0.101,1.012,3.479,-19.958,3.113
1,0.037,0.092,1.002,2.380,-22.949,2.197
1,0.042,0.084,0.987,2.869,-29.236,-0.305
1,0.079,0.084,0.974,8.240,-28.931,-1.160
1,0.079,0.118,0.965,3.540,-26.733,0.366
1,0.045,0.135,0.958,-2.014,-21.912,3.662
1,-0.009,0.119,0.976,-0.671,-18.188,4.211
1,-0.036,0.092,0.946,2.197,-12.756,4.822
1,-0.089,0.107,0.928,5.554,-11.902,5.310
1,-0.114,0.129,0.960,13.184,-9.827,3.357
1,-0.105,0.106,1.062,9.888,-9.766,2.014
1,-0.052,0.067,1.038,-3.906,-8.423,2.441
1,-0.022,0.067,1.028,0.000,-2.014,3.418
1,0.035,0.068,1.026,4.761,1.648,3.174
1,0.047,0.076,1.002,10.864,6.287,4.211
1,0.049,0.105,0.927,8.545,6.653,5.066
1,0.047,0.106,0.914,1.221,3.784,2.808
1,0.013,0.097,0.960,1.831,1.892,1.343
1,-0.019,0.100,0.987,3.296,0.000,-0.183
1,-0.051,0.076,0.997,1.465,-1.404,-0.732
1,-0.052,0.059,0.983,-3.967,-5.859,-1.160
1,-0.054,0.060,0.977,-6.470,-5.859,-1.831
1,-0.041,0.063,0.998,-6.287,-5.554,-1.953
1,-0.035,0.068,1.002,-3.113,-3.418,-1.343
1,-0.027,0.072,1.003,-0.122,-1.770,-1.343
1,-0.005,0.058,1.003,3.662,0.549,-1.953
1,0.001,0.061,1.006,2.930,1.404,-2.075
1,0.005,0.079,1.000,1.587,1.587,-1.892
1,0.007,0.084,0.991,-0.183,2.197,-1.343
1,0.005,0.079,0.966,-0.061,2.075,-0.916
1,0.003,0.075,0.968,1.587,1.221,0.000
1,0.006,0.064,1.012,2.808,1.343,0.122
1,0.012,0.049,1.023,2.319,2.502,0.366
1,0.011,0.054,1.018,-1.709,2.502,1.465
1,0.009,0.073,0.988,-3.296,2.441,1.648
1,0.009,0.075,0.967,-3.662,0.854,1.526
1,0.009,0.075,0.970,-2.380,-0.427,1.648
1,0.010,0.073,0.982,0.000,-1.648,1.587
1,0.008,0.069,0.995,-0.061,-1.953,1.343
1,0.007,0.073,0.977,-0.061,-2.563,0.488
1,0.010,0.075,0.963,-0.122,-4.089,-0.305
1,0.018,0.079,0.968,0.000,-4.395,-0.549
1,0.021,0.077,0.988,-0.183,-3.906,-0.610
1,0.007,0.069,1.010,-0.671,-3.174,-0.366
1,-0.004,0.067,1.003,-1.892,-2.136,0.061
1,-0.015,0.069,0.991,-2.319,-2.136,0.183
1,-0.012,0.066,0.986,-1.404,-1.587,0.183
1,-0.017,0.061,0.929,0.366,-0.977,0.183
1,-0.013,0.083,0.932,4.944,-2.625,-1.038
2,1.001,0.011,-0.077,-0.305,0.061,0.610
2,0.992,0.009,-0.083,-0.366,0.061,-0.061
2,0.990,0.010,-0.074,0.183,0.305,-0.122
2,0.985,0.010,-0.058,0.671,0.549,0.122
2,0.988,0.007,-0.051,0.549,0.244,0.488
2,0.997,0.005,-0.053,0.488,0.061,0.732
2,0.995,0.003,-0.067,1.282,0.549,0.549
2,0.990,0.000,-0.083,2.319,1.160,0.427
2,0.986,0.001,-0.080,2.258,0.732,0.549
2,0.976,0.006,-0.072,0.549,-0.854,0.549
2,0.979,0.007,-0.060,-1.587,-3.357,0.244
2,0.982,0.004,-0.077,-1.038,-3.418,0.122
2,0.988,0.006,-0.074,1.892,-2.014,0.305
2,0.993,0.014,-0.051,2.747,-0.977,0.610
2,0.987,0.017,-0.050,-0.061,-1.770,1.221
2,0.965,0.015,-0.081,-2.197,-3.601,1.343
2,0.944,0.021,-0.119,-5.188,-5.676,1.709
2,0.933,0.020,-0.126,-5.249,-3.540,2.563
2,0.936,0.009,-0.122,-3.845,-1.892,2.930
2,0.943,0.004,-0.125,1.709,-1.160,2.747
2,0.963,0.006,-0.137,4.150,-2.075,2.808
2,1.004,0.018,-0.115,6.287,-3.174,3.357
2,1.028,0.026,-0.082,7.874,-2.686,3.540
2,1.052,0.035,-0.068,7.690,-2.686,3.235
2,1.056,0.029,-0.089,4.211,-4.517,1.831
2,1.060,0.001,-0.118,2.258,-5.737,0.671
2,1.045,-0.004,-0.129,-0.244,-9.460,-1.587
2,0.985,-0.012,-0.168,-0.061,-11.353,-2.686
2,0.994,-0.001,-0.089,6.348,-13.428,-3.662
2,1.013,0.002,-0.038,6.409,-14.893,-2.869
2,1.030,0.005,-0.053,4.517,-16.479,-2.197
2,1.027,0.005,-0.085,3.174,-19.165,-1.160
2,1.003,0.001,-0.124,3.601,-20.203,-1.404
2,0.966,0.009,-0.102,5.371,-23.376,-3.418
2,0.959,0.016,-0.067,7.019,-25.024,-5.066
2,0.996,0.011,-0.001,5.737,-26.123,-5.554
2,1.019,0.000,-0.001,0.000,-33.081,-6.409
2,1.038,-0.002,-0.025,-2.625,-37.659,-6.287
2,0.991,0.010,-0.067,-4.578,-42.114,-5.432
2,0.960,0.016,-0.072,-0.183,-39.795,-5.798
