event,aX,aY,aZ,gX,gY,gZ
1,1.135,-0.076,-0.080,-16.663,-21.606,-29.114
1,1.101,-0.073,-0.078,-17.334,-15.930,-27.405
1,1.008,-0.103,-0.037,-29.358,-7.568,-24.475
1,0.874,-0.145,-0.079,-38.208,-5.493,-22.095
1,0.815,-0.157,-0.109,-46.997,-6.714,-17.273
1,0.772,-0.171,-0.112,-46.082,-7.141,-14.587
1,0.784,-0.168,-0.124,-35.522,-5.981,-8.545
1,0.847,-0.130,-0.125,-31.006,-4.456,-5.615
1,0.931,-0.109,-0.073,-26.550,3.113,-0.854
1,0.957,-0.118,-0.098,-25.024,7.935,-0.366
1,0.983,-0.118,-0.140,-22.400,7.263,-1.038
1,0.996,-0.106,-0.091,-17.761,5.615,-0.366
1,1.005,-0.088,-0.043,-19.958,5.066,0.244
1,1.006,-0.090,-0.053,-16.663,3.967,-0.366
1,1.021,-0.113,-0.033,-10.376,4.089,-0.793
1,0.999,-0.137,-0.002,-8.118,4.395,-0.732
1,0.971,-0.140,-0.006,-10.864,1.465,0.122
1,0.925,-0.126,-0.002,-9.399,-0.061,0.671
1,0.910,-0.120,0.006,-4.333,-1.648,1.343
1,0.894,-0.114,0.015,-2.991,-1.953,1.770
1,0.890,-0.114,0.016,-2.075,-2.197,2.808
1,0.895,-0.119,0.028,-2.014,-1.953,3.418
1,0.898,-0.121,0.035,-1.587,0.183,4.944
1,0.902,-0.118,0.045,0.549,1.770,5.737
1,0.898,-0.110,0.037,8.362,4.517,6.714
1,0.899,-0.113,0.034,12.390,4.944,6.958
1,0.908,-0.129,0.046,15.320,4.700,7.141
1,0.913,-0.140,0.054,14.160,4.456,7.263
1,0.918,-0.156,0.080,11.292,3.723,7.568
1,0.916,-0.159,0.067,12.634,3.235,8.118
1,0.918,-0.141,0.049,13.855,2.930,8.728
1,0.928,-0.124,0.053,16.907,2.991,10.193
1,0.961,-0.102,0.053,17.334,3.113,10.498
1,0.986,-0.101,0.055,16.418,4.883,10.803
1,1.035,-0.107,0.060,15.320,6.409,10.803
1,1.045,-0.112,0.042,15.259,10.498,10.681
1,1.035,-0.111,-0.004,16.174,12.268,10.742
1,1.026,-0.100,-0.004,18.127,13.489,11.414
1,1.018,-0.089,0.023,19.775,13.672,11.719
1,1.026,-0.087,0.045,22.644,13.550,12.634
1,1.062,-0.073,0.084,22.949,13.062,13.245
1,1.091,-0.082,0.087,23.315,11.414,13.367
1,1.173,-0.114,0.047,24.109,9.521,13.672
1,1.218,-0.106,0.047,30.945,4.028,16.296
1,1.270,-0.067,0.057,33.142,1.831,16.541
1,1.225,-0.057,0.001,29.541,-3.052,13.000
1,1.181,-0.057,-0.024,26.184,-6.836,10.986
1,1.088,-0.043,-0.088,17.639,-14.038,8.972
1,1.067,-0.032,-0.089,15.381,-18.860,8.362
1,1.066,-0.001,-0.076,15.015,-20.691,8.362
1,1.064,0.017,-0.095,11.963,-21.057,8.728
1,1.054,0.060,-0.115,12.878,-17.639,8.972
1,0.996,0.089,-0.127,20.569,-5.615,8.789
1,0.945,0.084,-0.139,24.963,-0.671,8.362
1,0.860,0.061,-0.119,32.654,2.808,8.057
1,0.836,0.051,-0.115,38.086,0.732,7.446
1,0.818,0.047,-0.140,38.452,-0.916,6.836
1,0.824,0.057,-0.152,35.645,-2.441,6.897
1,0.869,0.085,-0.163,36.133,-1.465,7.568
1,0.900,0.093,-0.167,38.269,2.380,8.789
1,0.951,0.090,-0.152,38.940,4.761,9.094
1,0.971,0.076,-0.146,43.762,9.460,9.277
1,1.011,0.056,-0.119,47.180,11.169,9.583
1,1.030,0.051,-0.090,52.307,13.855,10.132
1,1.033,0.044,-0.088,52.979,13.611,9.094
1,1.024,0.014,-0.082,50.842,12.512,7.812
1,1.007,-0.001,-0.089,43.213,9.705,4.822
1,0.954,-0.003,-0.080,36.743,7.690,3.906
1,0.930,0.009,-0.064,26.367,3.601,2.930
1,0.900,0.039,-0.067,22.583,2.197,2.686
1,0.897,0.053,-0.081,15.930,1.526,2.808
1,0.910,0.076,-0.083,14.099,2.136,3.174
1,0.943,0.088,-0.057,13.672,5.066,4.333
1,0.958,0.085,-0.049,13.977,8.240,4.944
1,0.967,0.091,-0.043,12.939,8.911,5.127
1,0.961,0.098,-0.050,11.414,9.949,5.249
1,0.945,0.088,-0.058,11.292,10.376,4.761
1,0.939,0.080,-0.049,10.864,10.254,3.845
1,0.925,0.077,-0.048,10.559,9.644,3.540
1,0.921,0.084,-0.052,10.498,7.812,2.991
1,0.928,0.099,-0.031,10.498,7.324,2.625
1,0.934,0.092,-0.025,8.301,7.629,0.916
1,0.940,0.058,-0.040,5.859,6.836,-0.305
1,0.942,0.046,-0.042,-1.648,3.357,-2.136
1,0.963,0.047,-0.050,-5.188,2.014,-2.625
1,0.977,0.054,-0.067,-4.761,0.610,-3.418
1,1.025,0.087,-0.004,-2.625,0.488,-3.052
1,1.046,0.102,0.028,-7.751,2.014,-2.014
1,1.064,0.086,-0.029,-12.268,2.441,-2.747
1,1.068,0.070,-0.055,-11.719,-0.488,-6.165
1,1.072,0.069,-0.027,-8.789,-2.686,-7.690
2,0.992,-0.085,-0.013,20.630,3.052,7.996
2,1.003,-0.082,-0.012,19.531,1.953,7.690
2,1.010,-0.081,-0.031,20.447,2.136,7.812
2,1.011,-0.080,-0.038,23.682,3.174,9.277
2,1.026,-0.079,-0.017,25.757,3.418,10.071
2,1.063,-0.084,0.003,30.212,2.502,10.803
2,1.076,-0.088,-0.004,31.128,0.977,10.742
2,1.105,-0.085,-0.044,25.391,-6.409,10.193
2,1.131,-0.076,-0.051,20.691,-15.503,10.254
2,1.204,-0.036,0.013,20.264,-17.700,11.414
2,1.236,-0.026,0.009,17.700,-19.775,13.428
2,1.291,-0.033,-0.058,18.250,-21.851,13.733
2,1.311,-0.017,-0.078,21.667,-22.522,15.869
2,1.303,0.056,-0.125,21.057,-19.531,17.395
2,1.217,0.112,-0.111,19.104,-11.414,17.822
2,1.148,0.118,-0.096,22.827,-5.249,12.024
2,0.972,0.085,-0.133,24.353,-5.066,7.690
2,0.884,0.076,-0.150,24.902,-8.423,2.747
2,0.747,0.095,-0.146,23.865,-8.667,2.502
2,0.700,0.107,-0.164,19.531,-7.874,2.258
2,0.674,0.131,-0.206,20.630,-8.362,2.014
2,0.763,0.163,-0.151,24.841,-7.996,2.991
2,0.822,0.166,-0.141,26.062,-5.554,3.723
2,0.931,0.133,-0.157,27.893,1.648,4.578
2,0.964,0.113,-0.164,31.006,8.362,5.493
2,1.000,0.091,-0.138,35.828,10.376,6.042
2,1.010,0.080,-0.116,47.729,11.963,7.263
2,1.022,0.067,-0.084,49.683,11.597,7.935
2,1.038,0.063,-0.029,45.288,9.827,7.935
2,1.027,0.035,-0.026,38.696,10.315,6.775
2,0.999,0.018,-0.067,26.184,9.705,4.211
2,0.929,0.040,-0.052,24.231,8.850,3.723
2,0.875,0.072,-0.020,19.958,8.179,2.563
2,0.869,0.081,-0.029,9.705,6.897,1.221
2,0.904,0.101,-0.041,5.493,6.653,1.404
2,0.931,0.111,-0.042,0.610,9.949,3.235
2,0.967,0.115,-0.058,-0.366,13.184,4.333
2,0.974,0.112,-0.060,-0.793,17.090,5.737
2,0.967,0.110,-0.038,-1.160,16.907,5.859
2,0.956,0.108,-0.029,-2.930,15.137,4.883
2,0.933,0.098,-0.014,-4.028,14.404,4.211
2,0.924,0.091,-0.014,-6.958,13.367,3.479
2,0.923,0.085,-0.017,-10.986,12.512,2.930
2,0.914,0.083,-0.027,-12.817,12.512,2.686
2,0.905,0.089,-0.049,-15.198,11.414,2.075
2,0.909,0.101,-0.064,-16.785,9.888,1.892
2,0.920,0.102,-0.071,-19.531,8.728,1.099
2,0.951,0.098,-0.070,-20.813,8.179,0.610
2,0.982,0.089,-0.048,-19.897,6.775,0.183
2,0.997,0.094,-0.041,-16.663,6.470,0.671
2,1.035,0.100,-0.057,-16.479,6.165,0.488
2,1.057,0.101,-0.056,-19.165,3.418,-1.648
2,1.085,0.105,-0.042,-20.203,2.319,-3.479
2,1.078,0.101,-0.055,-19.470,2.197,-7.629
2,1.072,0.094,-0.063,-17.944,1.343,-10.559
2,1.090,0.080,-0.055,-17.883,-0.854,-11.292
2,1.120,0.073,-0.034,-18.127,-7.568,-11.475
2,1.201,0.053,0.011,-18.127,-9.644,-11.108
2,1.236,0.040,0.014,-20.020,-10.498,-10.559
2,1.258,0.050,0.001,-19.775,-10.071,-11.292
2,1.233,0.034,-0.091,-17.883,-12.207,-15.747
2,1.229,0.022,-0.126,-22.278,-22.766,-20.264
2,1.213,0.042,-0.087,-24.841,-26.245,-21.118
2,1.182,0.055,-0.073,-25.757,-20.630,-20.447
2,1.074,0.025,-0.174,-22.522,-14.038,-20.447
2,0.962,-0.028,-0.206,-16.785,-5.859,-20.020
2,0.910,-0.041,-0.172,-22.949,-0.854,-15.869
2,0.820,-0.073,-0.195,-25.452,2.319,-13.977
2,0.792,-0.087,-0.224,-27.283,2.808,-10.864
2,0.786,-0.087,-0.235,-27.344,0.305,-9.460
2,0.800,-0.079,-0.238,-26.733,-5.127,-7.690
2,0.855,-0.072,-0.218,-28.198,-6.287,-7.263
2,0.909,-0.081,-0.186,-32.593,-3.845,-7.324
2,0.924,-0.083,-0.179,-35.950,1.038,-6.409
2,0.934,-0.074,-0.187,-36.072,2.808,-5.188
2,0.943,-0.063,-0.178,-33.508,3.357,-2.136
2,0.988,-0.047,-0.115,-31.982,3.418,-0.793
2,1.021,-0.053,-0.079,-30.151,5.249,0.000
2,1.019,-0.066,-0.076,-27.954,7.996,-0.305
2,0.981,-0.085,-0.082,-25.513,9.277,0.122
2,0.953,-0.083,-0.085,-18.433,10.132,1.892
2,0.921,-0.067,-0.088,-15.442,9.338,2.686
2,0.941,-0.054,-0.069,-13.062,5.615,3.601
2,0.955,-0.058,-0.068,-12.512,3.601,3.784
2,0.958,-0.066,-0.076,-12.207,3.357,3.906
2,0.944,-0.070,-0.045,-8.911,4.456,4.944
2,0.934,-0.071,-0.034,-6.226,6.409,6.287
2,0.920,-0.075,-0.025,-4.333,6.470,6.470
2,0.915,-0.074,-0.020,0.000,5.554,6.653
2,0.909,-0.074,-0.025,1.221,5.249,6.958
2,0.909,-0.083,-0.040,2.930,5.066,7.202
2,0.911,-0.087,-0.040,6.104,5.005,7.080
2,0.915,-0.095,-0.027,7.935,4.700,6.714
2,0.920,-0.099,-0.031,11.658,2.563,4.883
2,0.948,-0.093,-0.052,13.245,0.732,3.967
2,0.969,-0.083,-0.055,14.221,-0.977,2.991
2,0.996,-0.054,-0.069,14.099,-0.366,3.296
2,1.002,-0.049,-0.070,19.470,2.014,4.089
2,1.011,-0.073,-0.042,23.926,2.808,4.150
2,1.023,-0.094,-0.025,28.809,1.282,4.395
2,1.032,-0.097,-0.021,29.175,-0.793,4.578
2,1.045,-0.089,0.001,29.602,-4.333,5.371
2,1.049,-0.087,0.001,31.616,-5.981,5.859
2,1.062,-0.091,-0.076,32.959,-7.690,5.615
2,1.096,-0.084,-0.060,31.677,-13.306,6.409
2,1.172,-0.049,-0.026,26.428,-15.381,7.141
2,1.200,-0.031,-0.050,16.724,-16.479,8.301
2,1.249,-0.015,-0.088,15.869,-16.174,9.277
2,1.282,-0.018,-0.084,17.883,-14.282,11.841
2,1.273,-0.017,-0.099,23.437,-12.573,13.123
2,1.207,0.002,-0.123,27.466,-12.024,12.695
2,1.157,0.015,-0.135,30.579,-10.986,9.094
2,1.035,0.047,-0.197,28.381,-10.925,6.470
2,0.973,0.069,-0.210,20.630,-11.536,2.075
2,0.865,0.101,-0.170,6.714,-10.742,-1.221
2,0.772,0.109,-0.160,2.686,-10.315,-2.686
2,0.752,0.112,-0.176,5.249,-10.437,-4.028
2,0.772,0.127,-0.190,6.287,-10.010,-3.418
2,0.837,0.143,-0.165,11.292,-5.920,-0.366
2,0.880,0.130,-0.162,21.484,0.793,1.465
2,0.937,0.100,-0.172,24.841,3.601,1.953
2,0.952,0.090,-0.175,30.701,5.859,3.357
2,0.994,0.078,-0.154,34.058,5.249,4.211
2,1.016,0.078,-0.132,34.607,3.723,6.104
2,1.042,0.081,-0.093,33.875,4.456,6.409
2,1.046,0.063,-0.092,33.875,7.751,3.845
2,1.040,0.012,-0.087,32.104,8.606,2.014
2,0.990,-0.002,-0.065,25.513,9.216,-0.183
2,0.956,-0.003,-0.051,18.250,9.705,-0.732
2,0.891,-0.002,-0.047,13.733,9.338,-0.427
2,0.872,0.003,-0.060,3.113,6.287,0.732
2,0.867,0.024,-0.083,-1.587,4.211,1.343
2,0.891,0.055,-0.075,-7.874,2.258,2.930
2,0.912,0.067,-0.052,-9.888,3.540,4.883
2,0.955,0.070,-0.017,-10.315,5.188,5.737
2,0.973,0.064,-0.023,-12.451,8.301,6.958
2,1.010,0.055,-0.061,-13.916,8.728,7.324
2,1.009,0.053,-0.069,-16.479,8.118,7.812
2,0.995,0.054,-0.062,-18.860,7.507,7.629
2,0.968,0.036,-0.039,-21.118,6.836,7.141
2,0.960,0.024,-0.022,-26.611,5.615,6.165
2,0.955,0.018,-0.006,-29.480,5.432,6.104
2,0.956,0.019,-0.018,-36.682,4.211,5.737
2,0.950,0.016,-0.090,-39.856,2.563,5.066
2,0.946,0.021,-0.115,-40.588,-0.854,2.869
2,0.949,0.043,-0.037,-42.725,-1.587,0.854
2,0.931,0.040,-0.040,-46.265,-1.160,-0.244
2,0.925,0.037,-0.070,-44.617,0.244,-1.526
2,0.938,0.052,-0.074,-41.382,0.732,-1.282
2,0.989,0.049,-0.049,-39.246,0.122,-0.732
2,1.021,0.043,-0.036,-40.527,-2.869,-1.099
2,1.087,0.036,-0.006,-41.138,-3.906,-1.404
2,1.114,0.033,-0.007,-43.091,-3.540,-2.686
2,1.139,0.029,-0.005,-44.983,-3.540,-3.601
2,1.131,0.037,0.006,-45.044,-4.578,-5.615
2,1.124,0.027,-0.016,-36.255,-9.277,-8.972
2,1.130,0.027,0.002,-39.917,-13.428,-9.705
2,1.149,0.029,0.015,-48.096,-16.846,-11.414
2,1.175,0.014,-0.001,-50.232,-17.822,-13.062
2,1.180,0.001,-0.036,-51.453,-22.888,-16.174
2,1.203,-0.034,-0.140,-52.612,-27.344,-17.517
2,1.209,-0.020,-0.115,-54.199,-33.875,-19.348
2,1.191,-0.002,-0.078,-52.856,-25.269,-20.996
2,1.109,-0.014,-0.084,-52.063,-17.090,-22.400
2,1.040,-0.037,-0.128,-58.105,-6.165,-22.766
2,0.864,-0.069,-0.160,-65.430,-4.639,-21.057
2,0.742,-0.089,-0.169,-75.623,-3.357,-16.357
2,0.726,-0.091,-0.182,-79.163,-5.981,-10.925
2,0.788,-0.082,-0.172,-78.186,-7.996,-8.484
2,0.899,-0.065,-0.163,-71.594,-6.958,-4.700
2,0.947,-0.052,-0.162,-69.824,-0.916,-2.380
2,1.008,-0.050,-0.138,-71.411,2.563,-1.831
2,1.019,-0.058,-0.126,-71.899,9.277,-1.526
2,1.027,-0.083,-0.131,-70.313,10.498,-1.648
2,1.029,-0.110,-0.104,-66.772,7.141,-3.174
2,1.023,-0.112,-0.077,-71.289,3.174,-4.883
2,1.000,-0.113,-0.043,-73.914,2.380,-5.371
2,0.981,-0.115,-0.042,-70.435,2.502,-5.005
2,0.940,-0.112,-0.054,-68.481,2.563,-4.028
2,0.926,-0.108,-0.049,-67.627,2.380,-2.319
2,0.912,-0.099,-0.037,-66.650,2.441,-2.075
2,0.909,-0.097,-0.053,-63.049,2.563,-1.831
2,0.910,-0.088,-0.063,-59.265,2.441,-0.061
2,0.935,-0.078,-0.039,-59.204,2.686,1.282
2,0.949,-0.089,-0.020,-59.082,5.249,2.869
2,0.956,-0.119,-0.011,-55.908,7.019,3.357
2,0.950,-0.123,-0.051,-47.546,8.972,4.700
2,0.941,-0.119,-0.068,-41.870,9.216,5.493
2,0.939,-0.108,0.006,-39.124,9.888,5.981
2,0.931,-0.111,0.029,-38.696,10.925,6.836
2,0.910,-0.125,-0.026,-39.490,10.254,6.714
2,0.917,-0.122,-0.033,-36.072,8.911,7.141
2,0.937,-0.109,-0.006,-32.104,9.460,7.812
2,0.942,-0.108,-0.010,-24.048,10.315,8.667
2,0.951,-0.104,-0.002,-20.996,10.010,8.789
2,0.966,-0.112,-0.010,-15.137,8.606,8.362
2,0.972,-0.114,-0.027,-14.526,4.883,7.874
2,0.989,-0.097,-0.023,-15.320,2.808,8.423
2,0.997,-0.087,-0.017,-14.465,0.488,10.254
2,1.021,-0.073,-0.018,-13.123,0.000,10.986
3,1.087,0.003,0.019,-51.697,-3.174,-8.728
3,1.118,-0.025,0.055,-49.255,-4.150,-9.277
3,1.139,-0.041,0.063,-49.133,-7.080,-9.644
3,1.189,-0.064,0.042,-50.171,-9.705,-10.071
3,1.217,-0.060,-0.006,-51.575,-15.259,-11.597
3,1.210,-0.054,-0.043,-53.162,-20.203,-12.756
3,1.173,-0.045,-0.096,-52.185,-21.667,-12.695
3,1.156,-0.034,-0.087,-50.354,-20.935,-10.803
3,1.128,-0.022,-0.061,-50.354,-18.372,-9.216
3,1.096,-0.051,-0.073,-50.171,-17.883,-9.155
3,1.070,-0.071,-0.064,-45.959,-13.000,-9.155
3,0.960,-0.117,-0.097,-44.556,-5.737,-8.057
3,0.850,-0.140,-0.155,-46.753,-4.517,-7.080
3,0.812,-0.140,-0.177,-53.650,-6.897,-4.700
3,0.779,-0.131,-0.178,-55.298,-7.996,-3.601
3,0.784,-0.132,-0.149,-51.086,-5.249,-2.380
3,0.816,-0.154,-0.102,-47.180,-1.892,-2.014
3,0.836,-0.172,-0.099,-44.983,3.540,-1.587
3,0.900,-0.192,-0.094,-48.645,3.479,-1.648
3,0.967,-0.180,-0.081,-60.425,-0.061,-2.319
3,1.001,-0.158,-0.074,-67.078,-2.075,-2.136
3,1.056,-0.103,-0.076,-67.200,-1.526,-1.648
3,1.070,-0.075,-0.093,-64.331,2.502,-0.549
3,1.078,-0.042,-0.042,-63.049,5.981,-0.061
3,1.024,-0.069,-0.066,-60.425,13.550,-0.122
3,0.993,-0.089,-0.058,-48.523,17.151,-0.977
3,0.922,-0.112,-0.018,-43.274,17.944,-1.099
3,0.888,-0.118,-0.020,-37.903,14.709,-1.526
3,0.857,-0.112,-0.021,-36.560,11.475,-1.526
3,0.883,-0.115,0.002,-35.583,6.958,-0.793
