event,aX,aY,aZ,gX,gY,gZ
1,-0.273,-0.219,-0.950,-20.447,0.977,0.732
1,-0.273,-0.223,-0.961,-23.376,1.465,1.099
1,-0.278,-0.237,-0.964,-33.875,5.188,2.502
1,-0.282,-0.245,-0.960,-41.443,10.010,4.028
1,-0.279,-0.257,-0.948,-43.762,11.841,4.456
1,-0.278,-0.263,-0.941,-46.021,13.550,4.944
1,-0.285,-0.280,-0.931,-43.823,13.550,5.127
1,-0.289,-0.295,-0.924,-42.419,13.245,5.066
1,-0.291,-0.301,-0.920,-38.513,12.146,4.761
1,-0.295,-0.312,-0.913,-35.828,11.414,4.517
1,-0.297,-0.323,-0.907,-29.724,9.827,4.089
1,-0.298,-0.327,-0.904,-22.644,7.996,3.601
1,-0.301,-0.333,-0.901,-18.677,6.897,3.174
1,-0.301,-0.336,-0.899,-10.010,4.272,2.197
1,-0.302,-0.338,-0.897,-5.249,2.869,1.770
1,-0.302,-0.337,-0.898,3.784,0.122,0.854
1,-0.302,-0.335,-0.901,10.498,-1.892,0.122
1,-0.301,-0.331,-0.909,12.817,-2.502,-0.122
1,-0.301,-0.329,-0.912,14.954,-2.991,-0.244
1,-0.300,-0.324,-0.916,14.832,-2.930,-0.244
1,-0.299,-0.319,-0.919,12.878,-2.380,-0.122
1,-0.299,-0.317,-0.921,9.338,-1.526,0.122
1,-0.299,-0.315,-0.923,7.263,-1.038,0.244
1,-0.299,-0.314,-0.923,2.991,0.000,0.610
1,-0.299,-0.314,-0.923,0.916,0.610,0.916
1,-0.299,-0.315,-0.923,-3.357,1.953,1.587
1,-0.299,-0.315,-0.923,-8.179,3.418,2.136
1,-0.300,-0.319,-0.922,-10.864,4.089,2.380
1,-0.301,-0.322,-0.920,-15.808,5.615,2.930
1,-0.303,-0.328,-0.914,-18.066,6.226,3.174
1,-0.304,-0.331,-0.911,-21.423,6.958,3.357
1,-0.306,-0.338,-0.906,-22.217,7.141,3.357
1,-0.307,-0.341,-0.903,-21.606,6.836,3.235
1,-0.307,-0.349,-0.896,-20.508,6.409,2.991
1,-0.308,-0.356,-0.891,-16.296,4.822,2.380
1,-0.308,-0.359,-0.889,-9.827,2.625,1.404
1,-0.310,-0.360,-0.889,-6.409,1.526,0.916
1,-0.310,-0.360,-0.890,0.122,-0.671,0.183
1,-0.310,-0.358,-0.893,2.747,-1.526,-0.061
1,-0.307,-0.357,-0.894,6.592,-2.686,-0.549
1,-0.307,-0.355,-0.894,10.437,-4.028,-1.099
1,-0.307,-0.351,-0.895,12.451,-4.761,-1.465
1,-0.306,-0.349,-0.897,16.113,-6.104,-1.953
1,-0.304,-0.343,-0.903,17.395,-6.714,-2.258
1,-0.304,-0.336,-0.909,18.494,-7.202,-2.380
1,-0.303,-0.333,-0.913,16.846,-6.653,-2.258
1,-0.299,-0.328,-0.916,15.259,-6.165,-2.136
1,-0.298,-0.326,-0.918,11.658,-4.822,-1.465
1,-0.298,-0.322,-0.921,9.460,-4.028,-1.160
1,-0.297,-0.321,-0.922,4.944,-2.380,-0.549
1,-0.297,-0.321,-0.919,0.732,-1.099,-0.183
1,-0.296,-0.321,-0.918,-0.732,-0.671,0.061
1,-0.296,-0.321,-0.918,-3.113,0.061,0.366
1,-0.296,-0.323,-0.917,-4.089,0.305,0.488
1,-0.297,-0.324,-0.915,-5.005,0.549,0.549
1,-0.297,-0.326,-0.913,-4.883,0.427,0.610
1,-0.297,-0.328,-0.913,-4.700,0.427,0.610
1,-0.297,-0.328,-0.913,-4.272,0.366,0.549
1,-0.297,-0.330,-0.912,-4.089,0.427,0.549
1,-0.297,-0.330,-0.912,-3.723,0.488,0.610
1,-0.297,-0.332,-0.912,-3.418,0.427,0.671
1,-0.297,-0.332,-0.910,-2.441,0.366,0.610
1,-0.297,-0.333,-0.910,-1.343,0.061,0.488
1,-0.297,-0.333,-0.911,-0.916,0.000,0.427
1,-0.297,-0.333,-0.912,-0.305,0.000,0.427
1,-0.297,-0.333,-0.911,-0.183,0.061,0.427
1,-0.297,-0.333,-0.911,-0.061,0.061,0.366
1,-0.297,-0.333,-0.912,0.061,0.061,0.366
1,-0.297,-0.333,-0.911,0.244,0.122,0.427
1,-0.297,-0.333,-0.911,0.244,0.183,0.427
1,-0.298,-0.333,-0.910,0.061,0.244,0.488
1,-0.297,-0.333,-0.911,-0.305,0.366,0.549
1,-0.297,-0.333,-0.912,-0.549,0.427,0.549
1,-0.297,-0.333,-0.912,-1.282,0.732,0.610
1,-0.298,-0.334,-0.912,-2.380,1.099,0.916
1,-0.298,-0.335,-0.910,-2.930,1.282,0.977
1,-0.297,-0.335,-0.910,-4.211,1.709,1.038
1,-0.299,-0.337,-0.911,-4.883,1.892,1.099
1,-0.300,-0.339,-0.910,-6.226,2.136,1.221
1,-0.299,-0.340,-0.908,-6.775,2.258,1.282
1,-0.299,-0.342,-0.907,-6.836,2.319,1.282
1,-0.299,-0.343,-0.906,-6.653,2.136,1.221
1,-0.301,-0.345,-0.904,-6.165,1.892,1.038
1,-0.301,-0.346,-0.903,-4.700,1.282,0.854
1,-0.302,-0.349,-0.902,-3.967,0.977,0.793
1,-0.302,-0.350,-0.902,-2.380,0.549,0.610
1,-0.302,-0.349,-0.902,-0.671,0.122,0.427
1,-0.301,-0.349,-0.902,0.061,-0.122,0.366
1,-0.300,-0.349,-0.902,0.854,-0.427,0.183
1,-0.300,-0.349,-0.902,1.099,-0.488,0.122
1,-0.301,-0.348,-0.903,1.892,-0.671,0.122
1,-0.301,-0.348,-0.904,2.869,-1.038,0.061
1,-0.301,-0.347,-0.905,3.113,-1.160,-0.061
2,0.966,-0.199,-0.165,2.441,2.075,-0.610
2,0.962,-0.198,-0.170,1.770,1.160,-0.549
2,0.959,-0.199,-0.174,1.587,0.732,-0.549
2,0.960,-0.205,-0.177,1.038,-0.732,-0.793
2,0.963,-0.208,-0.153,0.793,-1.282,-0.793
2,0.963,-0.199,-0.148,1.587,-0.305,-1.099
2,0.965,-0.198,-0.150,2.136,0.122,-1.526
2,0.967,-0.203,-0.149,1.587,-1.221,-2.014
2,0.964,-0.204,-0.150,-1.099,-3.052,-0.671
2,0.961,-0.207,-0.159,-2.441,-3.113,0.061
2,0.962,-0.208,-0.166,-3.357,-1.709,1.099
2,0.962,-0.207,-0.159,-1.648,-0.488,2.380
2,0.962,-0.207,-0.151,-1.160,-0.183,3.235
2,0.963,-0.204,-0.155,-2.625,-2.319,3.906
2,0.965,-0.201,-0.141,-4.272,-4.700,3.784
2,0.964,-0.201,-0.131,-7.385,-7.874,4.211
2,0.964,-0.206,-0.135,-8.850,-8.240,5.066
2,0.964,-0.194,-0.145,-10.620,-7.935,6.897
2,0.967,-0.188,-0.150,-9.583,-5.859,6.104
2,0.963,-0.184,-0.159,-7.812,-4.700,5.005
2,0.961,-0.192,-0.163,-2.747,-4.333,3.296
2,0.963,-0.210,-0.146,-2.808,-5.310,3.845
2,0.980,-0.208,-0.107,-7.080,-7.751,6.836
2,0.995,-0.204,-0.092,-14.954,-10.986,7.874
2,1.006,-0.194,-0.055,-19.836,-13.672,7.751
2,0.995,-0.193,-0.037,-28.564,-18.250,8.240
2,0.963,-0.193,-0.017,-32.593,-19.897,9.888
2,0.940,-0.187,-0.010,-32.043,-17.334,14.160
2,0.913,-0.201,-0.000,-27.771,-0.671,17.700
2,0.987,-0.141,-0.075,-28.381,7.690,17.700
2,1.034,-0.116,-0.118,-14.893,7.385,3.601
2,1.099,-0.148,-0.105,-8.789,-1.831,-5.737
2,1.085,-0.193,-0.042,-0.549,-25.024,-17.517
2,1.005,-0.289,0.094,1.587,-32.471,-17.517
2,0.918,-0.304,0.166,-9.094,-28.931,-5.249
2,0.906,-0.272,0.155,-19.287,1.221,10.071
2,0.956,-0.180,0.007,-16.418,16.541,11.963
2,0.999,-0.154,-0.096,1.465,22.827,2.319
2,1.062,-0.137,-0.174,9.277,11.780,-4.333
2,1.045,-0.149,-0.040,16.541,-19.470,-15.259
2,1.043,-0.166,0.036,20.325,-34.119,-20.752
2,1.026,-0.192,0.124,19.104,-33.447,-22.278
2,0.967,-0.213,0.136,19.165,-21.118,-25.330
2,0.955,-0.214,0.117,10.071,-3.174,-24.353
2,0.990,-0.210,0.045,10.864,3.235,-25.513
2,1.012,-0.232,0.008,28.748,5.310,-33.875
2,1.007,-0.291,-0.006,37.415,1.160,-36.438
2,0.991,-0.305,0.015,41.748,-8.179,-32.776
2,0.985,-0.282,0.054,40.833,-10.864,-29.358
2,0.988,-0.237,0.098,43.152,-14.771,-26.855
2,1.000,-0.223,0.122,41.199,-14.099,-33.997
2,0.976,-0.246,0.175,40.649,-11.841,-40.771
2,0.920,-0.276,0.199,51.270,-1.282,-52.063
2,0.809,-0.321,0.207,59.204,7.446,-52.490
2,0.773,-0.330,0.171,77.454,20.996,-46.265
2,0.761,-0.339,0.162,75.806,20.264,-43.152
2,0.727,-0.366,0.198,66.528,16.602,-43.579
2,0.690,-0.386,0.229,80.688,9.155,-48.279
2,0.545,-0.409,0.302,89.050,7.324,-48.340
2,0.446,-0.389,0.342,103.271,10.864,-36.316
2,0.339,-0.275,0.395,108.337,16.541,-28.015
2,0.312,-0.219,0.443,81.848,24.048,-28.564
2,0.294,-0.224,0.481,50.354,28.076,-50.781
2,0.352,-0.315,0.530,38.208,38.513,-70.007
2,0.344,-0.420,0.517,14.893,80.750,-112.305
2,0.060,-0.562,0.417,25.818,103.882,-113.586
2,-0.065,-0.410,0.271,189.270,128.662,-40.344
2,-0.048,0.056,-0.071,230.225,133.789,-2.258
2,-0.117,0.116,-0.127,-25.452,146.912,11.414
2,-0.124,0.062,-0.126,-100.525,147.827,5.005
2,-0.119,0.071,-0.160,-72.632,143.738,0.854
2,-0.112,0.077,-0.176,-75.256,127.625,-10.986
2,-0.084,0.050,-0.186,-75.806,116.882,-20.142
2,-0.072,0.026,-0.181,-82.581,98.511,-31.738
2,-0.044,-0.018,-0.162,-100.708,87.341,-30.823
2,-0.025,-0.050,-0.141,-111.572,84.106,-27.649
2,-0.018,-0.064,-0.131,-129.944,80.505,-19.592
2,-0.001,-0.092,-0.109,-136.292,80.139,-14.832
2,0.008,-0.108,-0.097,-145.325,82.642,-3.296
2,0.031,-0.139,-0.087,-148.865,85.449,3.906
2,0.061,-0.172,-0.087,-152.039,91.919,23.193
2,0.078,-0.188,-0.094,-145.142,95.764,52.307
2,0.097,-0.195,-0.120,-136.047,94.727,71.289
2,0.092,-0.174,-0.135,-102.356,81.360,113.831
2,0.043,-0.070,-0.160,-76.111,67.139,132.874
2,-0.027,0.050,-0.180,10.254,20.386,154.785
2,-0.066,0.099,-0.180,175.171,-56.030,158.081
2,1.640,0.430,-0.159,218.384,-89.844,132.874
2,2.458,0.901,-0.511,-438.415,-174.683,-415.283
2,-1.131,-0.751,-0.985,427.551,-452.270,-1020.508
2,1.499,-4.000,0.554,2000.000,-647.583,-1136.047
2,2.615,-3.809,1.472,1195.740,609.009,949.219
2,-3.627,3.120,-3.157,3.418,1589.477,1733.337
2,-4.000,4.000,-4.000,-110.901,1017.700,406.067
2,-1.655,0.970,-3.466,117.249,389.954,-172.791
2,-0.603,-0.543,-2.098,-288.391,284.424,77.271
2,-0.521,-0.460,-0.449,-360.535,320.801,194.214
2,-0.211,-0.036,-0.207,-179.504,207.886,182.190
2,-0.154,0.182,-0.449,-61.462,121.216,136.658
2,-0.314,0.143,-0.597,-29.297,80.688,114.746
2,-0.340,0.130,-0.563,17.151,22.400,59.082
2,-0.488,0.113,-0.504,26.917,8.362,32.410
2,-0.790,0.079,-0.386,41.809,21.545,-12.634
2,-1.707,-0.052,-0.270,2.014,61.279,-0.488
2,-1.447,0.149,-0.118,-144.775,141.113,62.378
2,-0.209,-0.135,-0.554,-90.149,143.799,65.186
2,-0.624,-0.376,-0.731,26.550,36.743,41.992
2,-0.910,-0.290,-0.450,-33.325,-0.549,11.169
2,-0.795,-0.332,-0.392,-1.648,-15.564,3.418
2,-0.769,-0.277,-0.571,69.885,-30.945,-16.663
2,-0.794,-0.228,-0.704,39.307,-15.198,-9.705
2,-0.783,-0.276,-0.532,-14.404,5.432,4.150
2,-0.783,-0.273,-0.563,4.272,-0.916,0.488
2,-0.784,-0.261,-0.584,3.174,-1.526,-0.122
2,-0.784,-0.263,-0.580,-0.244,0.244,0.610
2,-0.783,-0.266,-0.570,0.549,0.366,0.427
2,-0.785,-0.264,-0.577,2.625,-0.305,-0.305
2,-0.786,-0.262,-0.576,1.831,0.000,0.000
2,-0.783,-0.263,-0.575,1.465,-0.061,0.305
2,-0.782,-0.263,-0.577,1.343,-0.061,0.244
2,-0.783,-0.262,-0.575,1.099,0.061,0.183
2,-0.783,-0.262,-0.576,1.282,-0.122,0.122
2,-0.783,-0.262,-0.578,0.732,-0.122,0.305
2,-0.782,-0.263,-0.577,0.610,-0.061,0.305
2,-0.784,-0.262,-0.577,0.732,-0.061,0.122
2,-0.784,-0.262,-0.576,0.610,-0.061,0.122
2,-0.783,-0.264,-0.577,0.488,-0.183,0.122
2,-0.783,-0.263,-0.577,0.366,-0.122,0.122
2,-0.784,-0.261,-0.576,0.244,-0.061,0.183
2,-0.783,-0.261,-0.575,0.122,-0.122,0.183
2,-0.783,-0.262,-0.576,0.061,-0.183,0.183
2,-0.783,-0.262,-0.577,0.000,-0.183,0.183
2,-0.783,-0.262,-0.577,0.061,-0.122,0.183
2,-0.783,-0.263,-0.577,0.000,-0.122,0.122
2,-0.783,-0.264,-0.577,-0.122,-0.183,0.183
2,-0.782,-0.263,-0.576,-0.122,-0.122,0.122
2,-0.783,-0.262,-0.576,-0.061,-0.122,0.183
2,-0.783,-0.264,-0.577,-0.183,-0.183,0.183
2,-0.784,-0.264,-0.578,-0.183,-0.183,0.122
2,-0.784,-0.264,-0.577,-0.122,-0.183,0.122
2,-0.783,-0.262,-0.577,-0.061,-0.244,0.183
2,-0.784,-0.262,-0.578,-0.122,-0.183,0.244
2,-0.784,-0.262,-0.577,-0.183,-0.122,0.244
2,-0.784,-0.263,-0.578,-0.183,-0.122,0.244
2,-0.783,-0.262,-0.578,-0.183,-0.183,0.244
